,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
464,CHEMBL431843,CC(C)(OC(=O)C12CC3CC(CC(C3)C1)C2)c1cccnc1,inactive,299.41399999999993,4.076300000000003,0.0,3.0,4.292428972345091
465,CHEMBL309113,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2=O,active,272.388,3.697300000000003,0.0,2.0,5.920782564253433
466,CHEMBL323546,O=C(Cc1ccncc1)Oc1ccccc1,inactive,213.236,2.2297000000000002,0.0,3.0,4.85698207533641
467,CHEMBL102981,CC(C(=O)OC1CCCCC1)c1ccncc1,active,233.311,3.0610000000000017,0.0,3.0,5.6777600250688485
468,CHEMBL441404,CCCCCC[C@]1(c2ccncc2)CCC(=O)NC1=O,active,274.36400000000003,2.7264,1.0,3.0,5.443685435664653
469,CHEMBL89046,C[C@]1(c2ccncc2)CCC(=O)NC1=O,inactive,204.22899999999998,0.7758999999999998,1.0,3.0,3.61083373837245
470,CHEMBL313485,CCCCCCC[C@]1(c2ccncc2)CCC(=O)NC1=O,active,288.391,3.1165000000000003,1.0,3.0,5.494836450189588
471,CHEMBL25700,C#C[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,active,310.437,3.9467000000000034,0.0,2.0,5.721223542044355
474,CHEMBL24897,CC12CCC3C(C[C@@H](Cc4ccccc4)C4=CC(=O)CCC43C)C1CCC2=O,active,376.54000000000025,5.556200000000006,0.0,2.0,5.397929151445704
476,CHEMBL321729,CC1CCC(OC(=O)Cc2ccncc2)CC1,active,233.31099999999998,2.7460000000000013,0.0,3.0,5.698948290154774
477,CHEMBL104126,CC(C)CC(C)OC(=O)Cc1ccncc1,active,221.29999999999998,2.6019000000000005,0.0,3.0,5.013223788494134
478,CHEMBL314351,CCCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,inactive,260.337,2.2884,0.0,3.0,4.5086369052180455
482,CHEMBL312960,CCCCCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,inactive,288.391,3.0686000000000018,0.0,3.0,4.677778637202043
483,CHEMBL302741,CC12CCC3C(C(=O)C=C4CCCCC43CO)C1CCC2=O,inactive,302.41400000000004,3.059800000000002,1.0,3.0,4.251811197468632
484,CHEMBL105044,CC1(OC(=O)Cc2ccncc2)CCCCC1,active,233.31099999999992,2.8901000000000012,0.0,3.0,5.494836450189588
488,CHEMBL71117,CC12CCC=CC1=CCC1C2CCC2(C)C1CC[C@@H]2O,inactive,272.43199999999996,4.476200000000005,1.0,1.0,4.7447250821562745
489,CHEMBL308829,CC12CCC3C(CC=C4CCCCC43CO)C1CCC2O,inactive,290.44699999999995,3.6726000000000023,2.0,2.0,4.20760761002734
490,CHEMBL330452,CC[C@]1(c2ccncc2)CCC(=O)NC1=O,inactive,218.25599999999994,1.166,1.0,3.0,4.999995657076895
491,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,232.28299999999996,1.3532,2.0,3.0,4.522877297634477
496,CHEMBL314991,CC[C@]1(c2ccncc2)CCC(=O)N(C)C1=O,inactive,232.28299999999993,1.5082,0.0,3.0,4.522877297634477
497,CHEMBL104566,CC1CCC(OC(=O)Cc2ccncc2)C1,active,219.284,2.3559,0.0,3.0,5.698948290154774
498,CHEMBL89102,CCCCC[C@]1(c2ccncc2)CCC(=O)NC1=O,active,260.337,2.3362999999999996,1.0,3.0,5.602042619896112
499,CHEMBL302249,CC12CCCCC1=CC(=O)C1C2CCC2(C)C(O)CCC12,inactive,288.43100000000004,3.8792000000000026,1.0,2.0,4.37674967556885
500,CHEMBL71736,CC12CCC3C(CC=C4CCCCC43C=O)C1CCC2=O,active,286.415,4.087400000000003,0.0,2.0,5.04575266509324
504,CHEMBL91363,CCCCCCCCC[C@]1(c2ccncc2)CCC(=O)NC1=O,active,316.44500000000005,3.896700000000002,1.0,3.0,5.619770663061963
506,CHEMBL103685,CC(C)(C(=O)OC1CCCCC1)c1ccncc1,inactive,247.33799999999997,3.235100000000002,0.0,3.0,4.886053306979228
507,CHEMBL71612,CC12CCC3C4CCC=CC4=CC(=O)C3C1CCC2=O,inactive,270.37199999999996,3.473300000000002,0.0,2.0,4.481484744080222
509,CHEMBL262723,CC12CCC3C(C(=O)C=C4C=CCCC43C)C1CCC2=O,active,284.399,3.863400000000003,0.0,2.0,5.74470336809566
510,CHEMBL302530,CC12CCC3C(C(=O)C=C4C=CCCC43CO)C1CCC2=O,inactive,300.3980000000001,2.8358000000000008,1.0,3.0,4.2218480257928235
511,CHEMBL281871,CC12CCC3C(C[C@@H](c4ccccc4)C4=CC(=O)CCC43C)C1CCC2=O,active,362.5130000000002,5.481100000000005,0.0,2.0,5.769525532638841
512,CHEMBL314125,CCCCCCCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,active,316.445,3.8488000000000033,0.0,3.0,5.8238797889439144
517,CHEMBL71363,CC12CCC3C(CC=C4CCCCC43C)C1C[C@@H](Br)C2=O,inactive,351.328,5.281800000000005,0.0,1.0,4.259636520880143
519,CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O,active,218.25599999999994,1.166,1.0,3.0,5.301021309861201
520,CHEMBL24580,CC12CCC3C(C[C@H](c4ccccc4)C4=CC(=O)CCC43C)C1CCC2=O,active,362.5130000000002,5.481100000000005,0.0,2.0,5.958567835319735
521,CHEMBL88421,CCCCCCCCCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,active,344.499,4.629000000000005,0.0,3.0,5.522864269038877
522,CHEMBL71169,CC12CCC3C(C(=O)C=C4CCCCC43C=O)C1CCC2=O,inactive,300.398,3.2664000000000017,0.0,3.0,4.2218480257928235
